Type,"Country Code","Series Code","Description"
Country-Series,"United Arab Emirates (ARE)","Military expenditure (% of general government expenditure) (MS.MIL.XPND.ZS)","1997-2014 SIPRI estimates."
Country-Series,"United Arab Emirates (ARE)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"United Arab Emirates (ARE)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"United Arab Emirates (ARE)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"United Arab Emirates (ARE)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"United Arab Emirates (ARE)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Argentina (ARG)","GDP, PPP (current international $) (NY.GDP.MKTP.PP.CD)","Estimates are based on regression."
Country-Series,"Argentina (ARG)","GDP, PPP (constant 2011 international $) (NY.GDP.MKTP.PP.KD)","Estimates are based on regression."
Country-Series,"Argentina (ARG)","GDP per capita, PPP (current international $) (NY.GDP.PCAP.PP.CD)","Estimates are based on regression."
Country-Series,"Argentina (ARG)","GDP per capita, PPP (constant 2011 international $) (NY.GDP.PCAP.PP.KD)","Estimates are based on regression."
Country-Series,"Argentina (ARG)","PPP conversion factor, private consumption (LCU per international $) (PA.NUS.PRVT.PP)","Estimates are based on regression."
Country-Series,"Argentina (ARG)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Argentina (ARG)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Argentina (ARG)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Argentina (ARG)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Argentina (ARG)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Armenia (ARM)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Armenia (ARM)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Armenia (ARM)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Armenia (ARM)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Armenia (ARM)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Antigua and Barbuda (ATG)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Antigua and Barbuda (ATG)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Antigua and Barbuda (ATG)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Antigua and Barbuda (ATG)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Antigua and Barbuda (ATG)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Australia (AUS)","Military expenditure (current USD) (MS.MIL.XPND.CD)","1960-1999 SIPRI estimates."
Country-Series,"Australia (AUS)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","1960-1999 SIPRI estimates."
Country-Series,"Australia (AUS)","Military expenditure (% of general government expenditure) (MS.MIL.XPND.ZS)","1988-1999 SIPRI estimates."
Country-Series,"Australia (AUS)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
Country-Series,"Australia (AUS)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
Country-Series,"Australia (AUS)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: Australian Bureau of Statistics"
Country-Series,"Australia (AUS)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Australia (AUS)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: Australian Bureau of Statistics"
Country-Series,"Austria (AUT)","Military expenditure (current USD) (MS.MIL.XPND.CD)","1960-2001 SIPRI estimates."
Country-Series,"Austria (AUT)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","1960-2001 SIPRI estimates."
Country-Series,"Austria (AUT)","Military expenditure (% of general government expenditure) (MS.MIL.XPND.ZS)","1988-2001 SIPRI estimates."
Country-Series,"Austria (AUT)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
Country-Series,"Austria (AUT)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
Country-Series,"Austria (AUT)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: Eurostat, Statistik Austria"
Country-Series,"Austria (AUT)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Austria (AUT)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: Eurostat, Statistik Austria"
Country-Series,"Azerbaijan (AZE)","Military expenditure (current USD) (MS.MIL.XPND.CD)","1992-2004 SIPRI estimates."
Country-Series,"Azerbaijan (AZE)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","1992-2004 SIPRI estimates."
Country-Series,"Azerbaijan (AZE)","Military expenditure (% of general government expenditure) (MS.MIL.XPND.ZS)","1994-2004 SIPRI estimates."
Country-Series,"Azerbaijan (AZE)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects. Including Nagorno-Karabakh."
Country-Series,"Azerbaijan (AZE)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects. Including Nagorno-Karabakh."
Country-Series,"Azerbaijan (AZE)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Azerbaijan (AZE)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Azerbaijan (AZE)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Burundi (BDI)","Military expenditure (current USD) (MS.MIL.XPND.CD)","2017-2018 highly uncertain data."
Country-Series,"Burundi (BDI)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","2017-2018 highly uncertain data."
Country-Series,"Burundi (BDI)","Military expenditure (% of general government expenditure) (MS.MIL.XPND.ZS)","2017-2018 highly uncertain data."
Country-Series,"Burundi (BDI)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Burundi (BDI)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Burundi (BDI)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Burundi (BDI)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Burundi (BDI)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Belgium (BEL)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
Country-Series,"Belgium (BEL)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
Country-Series,"Belgium (BEL)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: Eurostat"
Country-Series,"Belgium (BEL)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Belgium (BEL)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: Eurostat"
Country-Series,"Benin (BEN)","Military expenditure (current USD) (MS.MIL.XPND.CD)","1960-1971 SIPRI estimates."
Country-Series,"Benin (BEN)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","1960-1971 SIPRI estimates."
Country-Series,"Benin (BEN)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Benin (BEN)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Benin (BEN)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Benin (BEN)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Benin (BEN)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Burkina Faso (BFA)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Burkina Faso (BFA)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Burkina Faso (BFA)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Burkina Faso (BFA)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Burkina Faso (BFA)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Bangladesh (BGD)","Military expenditure (% of general government expenditure) (MS.MIL.XPND.ZS)","1988-2008 SIPRI estimates."
Country-Series,"Bangladesh (BGD)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Bangladesh (BGD)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Bangladesh (BGD)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Bangladesh (BGD)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Bangladesh (BGD)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Bulgaria (BGR)","Military expenditure (current USD) (MS.MIL.XPND.CD)","1989-2003 SIPRI estimates."
Country-Series,"Bulgaria (BGR)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","1989-2003 SIPRI estimates."
Country-Series,"Bulgaria (BGR)","Military expenditure (% of general government expenditure) (MS.MIL.XPND.ZS)","1998-2003 SIPRI estimates."
Country-Series,"Bulgaria (BGR)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
Country-Series,"Bulgaria (BGR)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
Country-Series,"Bulgaria (BGR)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: Eurostat"
Country-Series,"Bulgaria (BGR)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Bulgaria (BGR)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: Eurostat"
Country-Series,"Bahrain (BHR)","Military expenditure (current USD) (MS.MIL.XPND.CD)","1971-2004 SIPRI estimates."
Country-Series,"Bahrain (BHR)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","1971-2004 SIPRI estimates."
Country-Series,"Bahrain (BHR)","Military expenditure (% of general government expenditure) (MS.MIL.XPND.ZS)","1990-2004 SIPRI estimates."
Country-Series,"Bahrain (BHR)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Bahrain (BHR)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Bahrain (BHR)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Bahrain (BHR)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Bahrain (BHR)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Bahamas, The (BHS)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Bahamas, The (BHS)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Bahamas, The (BHS)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Bahamas, The (BHS)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Bahamas, The (BHS)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Bosnia and Herzegovina (BIH)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Bosnia and Herzegovina (BIH)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Bosnia and Herzegovina (BIH)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Bosnia and Herzegovina (BIH)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Bosnia and Herzegovina (BIH)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Belarus (BLR)","Military expenditure (current USD) (MS.MIL.XPND.CD)","1992-2000 SIPRI estimates."
Country-Series,"Belarus (BLR)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","1992-2000 SIPRI estimates."
Country-Series,"Belarus (BLR)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
Country-Series,"Belarus (BLR)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
Country-Series,"Belarus (BLR)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: Statistical Year Book; Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research; Eurostat; TransMONEE"
Country-Series,"Belarus (BLR)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Belarus (BLR)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: Statistical Year Book; Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research; Eurostat; TransMONEE"
Country-Series,"Belize (BLZ)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Belize (BLZ)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Belize (BLZ)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Belize (BLZ)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Belize (BLZ)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Bermuda (BMU)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: Bermuda Government Department of Statistics, United Nations Population and Vital Statistics Report"
Country-Series,"Bermuda (BMU)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Bermuda (BMU)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: Bermuda Government Department of Statistics, United Nations Population and Vital Statistics Report"
Country-Series,"Bolivia (BOL)","Military expenditure (current USD) (MS.MIL.XPND.CD)","1961-1998 SIPRI estimates."
Country-Series,"Bolivia (BOL)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","1961-1998 SIPRI estimates."
Country-Series,"Bolivia (BOL)","Military expenditure (% of general government expenditure) (MS.MIL.XPND.ZS)","1989-1998 SIPRI estimates."
Country-Series,"Bolivia (BOL)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Bolivia (BOL)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Bolivia (BOL)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Bolivia (BOL)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Bolivia (BOL)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Brazil (BRA)","Military expenditure (current USD) (MS.MIL.XPND.CD)","1960-1994 SIPRI estimates."
Country-Series,"Brazil (BRA)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","1960-1994 SIPRI estimates."
Country-Series,"Brazil (BRA)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Brazil (BRA)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Brazil (BRA)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Brazil (BRA)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Brazil (BRA)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Barbados (BRB)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Barbados (BRB)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Barbados (BRB)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Barbados (BRB)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Barbados (BRB)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Brunei Darussalam (BRN)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Brunei Darussalam (BRN)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Brunei Darussalam (BRN)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Brunei Darussalam (BRN)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Brunei Darussalam (BRN)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Bhutan (BTN)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Bhutan (BTN)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Bhutan (BTN)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Bhutan (BTN)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Bhutan (BTN)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Botswana (BWA)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Botswana (BWA)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Botswana (BWA)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Botswana (BWA)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Botswana (BWA)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Central African Republic (CAF)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Central African Republic (CAF)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Central African Republic (CAF)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Central African Republic (CAF)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Central African Republic (CAF)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Canada (CAN)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
Country-Series,"Canada (CAN)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
Country-Series,"Canada (CAN)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: Statistics Canada, United Nations World Population Prospects"
Country-Series,"Canada (CAN)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Canada (CAN)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: Statistics Canada, United Nations World Population Prospects"
