Year,Region,Reg_count,PathOrder
2009,Africa (excl MENA),23,5
2009,Americas,2,1
2009,Americas,2,5
2009,Asia and Pacific,17,1
2009,Asia and Pacific,17,5
2009,Cross-regional,2,1
2009,Cross-regional,2,5
2009,Europe and Eurasia,2,1
2009,Europe and Eurasia,2,5
2009,Middle East and North Africa,0,1
2009,Middle East and North Africa,0,5
2010,Africa (excl MENA),15,1
2010,Africa (excl MENA),15,5
2010,Americas,1,1
2010,Americas,1,5
2010,Asia and Pacific,9,1
2010,Asia and Pacific,9,5
2010,Cross-regional,1,1
2010,Cross-regional,1,5
2010,Europe and Eurasia,6,1
2010,Europe and Eurasia,6,5
2010,Middle East and North Africa,2,1
2010,Middle East and North Africa,2,5
2011,Africa (excl MENA),20,1
2011,Africa (excl MENA),20,5
2011,Americas,0,1
2011,Americas,0,5
2011,Asia and Pacific,12,1
2011,Asia and Pacific,12,5
2011,Cross-regional,0,1
2011,Cross-regional,0,5
2011,Europe and Eurasia,9,1
2011,Europe and Eurasia,9,5
2011,Middle East and North Africa,9,1
2011,Middle East and North Africa,9,5
2012,Africa (excl MENA),29,1
2012,Africa (excl MENA),29,5
2012,Americas,1,1
2012,Americas,1,5
2012,Asia and Pacific,21,1
2012,Asia and Pacific,21,5
2012,Cross-regional,0,1
2012,Cross-regional,0,5
2012,Europe and Eurasia,3,1
2012,Europe and Eurasia,3,5
2012,Middle East and North Africa,9,1
2012,Middle East and North Africa,9,5
2013,Africa (excl MENA),21,1
2013,Africa (excl MENA),21,5
2013,Americas,1,1
2013,Americas,1,5
2013,Asia and Pacific,14,1
2013,Asia and Pacific,14,5
2013,Cross-regional,0,1
2013,Cross-regional,0,5
2013,Europe and Eurasia,3,1
2013,Europe and Eurasia,3,5
2013,Middle East and North Africa,3,1
2013,Middle East and North Africa,3,5
2014,Africa (excl MENA),29,1
2014,Africa (excl MENA),29,5
2014,Americas,5,1
2014,Americas,5,5
2014,Asia and Pacific,8,1
2014,Asia and Pacific,8,5
2014,Cross-regional,0,1
2014,Cross-regional,0,5
2014,Europe and Eurasia,6,1
2014,Europe and Eurasia,6,5
2014,Middle East and North Africa,31,1
2014,Middle East and North Africa,31,5
2015,Africa (excl MENA),18,1
2015,Africa (excl MENA),18,5
2015,Americas,7,1
2015,Americas,7,5
2015,Asia and Pacific,14,1
2015,Asia and Pacific,14,5
2015,Cross-regional,0,1
2015,Cross-regional,0,5
2015,Europe and Eurasia,7,1
2015,Europe and Eurasia,7,5
2015,Middle East and North Africa,21,1
2015,Middle East and North Africa,21,5
2016,Africa (excl MENA),15,1
2016,Africa (excl MENA),15,5
2016,Americas,12,1
2016,Americas,12,5
2016,Asia and Pacific,6,1
2016,Asia and Pacific,6,5
2016,Cross-regional,0,1
2016,Cross-regional,0,5
2016,Europe and Eurasia,6,1
2016,Europe and Eurasia,6,5
2016,Middle East and North Africa,34,1
2016,Middle East and North Africa,34,5
2017,Africa (excl MENA),12,1
2017,Africa (excl MENA),12,5
2017,Americas,5,1
2017,Americas,5,5
2017,Asia and Pacific,9,1
2017,Asia and Pacific,9,5
2017,Cross-regional,0,1
2017,Cross-regional,0,5
2017,Europe and Eurasia,2,1
2017,Europe and Eurasia,2,5
2017,Middle East and North Africa,35,1
2017,Middle East and North Africa,35,5
2018,Africa (excl MENA),12,1
2018,Africa (excl MENA),12,5
2018,Americas,0,1
2018,Americas,0,5
2018,Asia and Pacific,4,1
2018,Asia and Pacific,4,5
2018,Cross-regional,2,1
2018,Cross-regional,2,5
2018,Europe and Eurasia,2,1
2018,Europe and Eurasia,2,5
2018,Middle East and North Africa,32,1
2018,Middle East and North Africa,32,5
2019,Africa (excl MENA),1,1
2019,Africa (excl MENA),1,5
2019,Americas,0,1
2019,Americas,0,5
2019,Asia and Pacific,0,1
2019,Asia and Pacific,0,5
2019,Cross-regional,0,1
2019,Cross-regional,0,5
2019,Europe and Eurasia,0,1
2019,Europe and Eurasia,0,5
2019,Middle East and North Africa,1,1
2019,Middle East and North Africa,1,5
